Sample,LATI,LONG,ELEV,SLPE,ASPC,DMF,COND,pH,TC,TP,CL,NO2,BR,NO3,PO4,SO4,MUD,SAND,GRVL,MIN,MAX,MEAN,QDP,SO,GRSKW,IGS,KURT,SIO2,TIO2,AL2O3,FE2O3,MNO,MGO,CAO,NA2O,K2O,P2O5,SO3,CLPPM
MP/T1/0 ,-66.311403,110.529715,12.82,7.6822,299.9897,0.97373,36.2,5.9,275,22.3,33.09975209,0.075,0.075,0.38,0.353608546,19.87180422,0.452573886,79.22828712,20.72976037,64.01838089,1378.73004,613.5189476,0.68471,0.622160292,-0.292570991,-0.370295422,1.325411548,32.802,0.618,86.083,7.49,0.5027,1.837,2.326,2.487,2.804,0.1612,0.084,43
MP/T1/100 ,-66.311756,110.532207,29.87,13.078,332.9913,0.9685,42.3,5.1,1720.027816,38.7,32.91845007,0.075,0.075,0.38,1.015542854,9.902781292,0.955961122,75.13983087,24.02502598,42.65888299,1135.69859,378.9040487,1.086855,0.470821889,-0.065308722,-0.110860711,0.892670015,35.767,0.447,85.311,6.746,0.1827,2.795,3.45,3.287,2.483,0.1571,0.086,54
MP/T1/102 ,-66.311772,110.532241,30.32,12.8052,333.3434,0.9716,25.1,5.5,2441.487356,36.7,58.98044154,0.075,0.075,0.38,0.881117801,13.04351351,1.005714103,73.91052936,25.06641758,45.43821591,1191.55042,440.6286456,1.02996,0.489758565,-0.219270967,-0.256768074,0.937643846,33.942,0.425,85.406,5.59,0.1485,2.174,2.942,3.294,3.022,0.1454,0.081,81
MP/T1/2 ,-66.311407,110.529765,13.1,7.7898,300.6562,0.94953,88,5.9,1652.35291,35.4,98.93470811,0.075,0.075,0.38,0.8439642,37.28010911,0.864567454,65.6777555,33.7635228,41.77286776,1302.831042,500.7524315,1.007775,0.497347255,-0.313246961,-0.349654225,1.009149762,34.28,0.638,85.592,8.144,0.4146,2.153,2.346,2.413,2.66,0.1429,0.095,59
MP/T1/200 ,-66.312659,110.534395,51.76,7.9511,17.3833,0.96383,49.9,5.2,1046.465008,32.3,53.93300866,0.075,0.075,0.38,0.439845851,8.62394393,1.515527732,69.35509821,25.3694999,50.71583218,1123.305232,386.968507,1.073675,0.475142442,-0.121064544,-0.139731542,0.852970894,28.015,0.428,86.972,3.633,0.1059,0.928,2.01,2.9,3.743,0.1428,0.015,59
MP/T1/202 ,-66.312685,110.534429,52.04,7.3115,21.7656,0.96962,36.9,5,2142.817066,21.5,15.55620452,0.075,0.075,0.38,0.491091916,4.593445596,1.393393299,53.06952254,43.16088092,37.68750242,1212.117872,431.0806898,1.19501,0.436819472,-0.24030252,-0.267540072,0.858642242,28.292,0.401,86.859,3.338,0.1012,0.976,2.001,2.931,3.879,0.1401,0.011,40
MP/T2/0 ,-66.311415,110.529701,12.83,7.75,298.6219,0.97542,62.1,5.6,775.9556136,31,75.57273844,0.075,0.075,0.38,0.075,20.84325122,0.630628309,52.21487212,47.62696891,48.96008931,1313.467042,521.6323218,0.968325,0.511133299,-0.303261859,-0.343779285,1.004275593,43.842,1.335,82.155,14.441,0.3969,3.504,1.734,1.777,2.308,0.1598,0.047,94
MP/T2/100 ,-66.311774,110.532177,30.13,12.8908,331.5753,0.98931,37.3,5.5,2042.045225,32.1,46.10767559,0.075,0.075,0.38,2.864751135,9.725336179,0.65718879,40.0563696,59.75709529,36.44538624,1356.472688,451.1713682,1.362495,0.388945727,-0.124197734,-0.164546558,0.784779538,31.716,0.414,85.41,4.246,0.1113,1.529,2.773,3.393,3.239,0.1275,0.036,106
MP/T2/102 ,-66.311782,110.532214,30.43,12.7226,332.2595,0.96283,31.1,5.3,1326.953766,23.8,28.76090884,0.075,0.075,0.38,0.075,9.973302452,1.224040407,66.26030877,31.4948635,51.72910353,1185.659703,414.802761,1.057,0.480665554,-0.134879526,-0.161041278,0.876004234,31.059,0.455,86.084,4.931,0.1353,1.699,2.566,3.128,3.206,0.1486,0.054,38
MP/T2/2 ,-66.311424,110.529736,13.06,7.8398,298.6822,0.9776,57.2,6.8,275,23.4,62.06134067,0.075,0.075,0.38,0.075,27.69646838,0.65572773,70.8144161,29.00070208,77.35294341,1454.829414,655.4478307,0.676695,0.625626023,-0.250524595,-0.336928275,1.281920603,39.404,0.713,85.879,11.877,1.0328,2.275,3.158,2.172,2.501,0.8301,0.224,131
MP/T2/200 ,-66.31267,110.534361,51.97,8.0631,20.0949,0.95356,35.2,5.2,1161.952892,22.8,33.91795824,0.075,0.075,0.38,0.418986543,4.838296984,1.559974422,69.48452079,24.59345866,49.58061579,1146.256568,397.825561,1.117265,0.461002452,-0.148207958,-0.163380983,0.831034406,27.655,0.388,86.657,3.27,0.0896,0.818,1.918,2.992,4.001,0.1313,0.006,59
MP/T2/202 ,-66.312698,110.534387,52.29,7.4603,24.9659,0.94324,66.6,5.4,1248.9054,29.1,90.86977385,0.075,0.075,0.075,0.075,12.34871692,1.829365735,70.37108442,18.42932464,33.85634397,1103.28843,356.5699775,1.25017,0.420434968,-0.140399262,-0.160457955,0.823861725,26.638,0.442,86.666,3.599,0.1047,0.966,2.14,2.985,3.83,0.1581,0.008,86
MP/T3/0 ,-66.31143,110.529679,12.8,7.8485,296.8232,0.97962,83.2,5.6,754.4157298,30.5,109.8626782,0.075,0.075,0.38,0.075,24.63115214,0.689398011,47.00675967,52.76735912,43.39943286,1414.017524,545.6076804,1.08748,0.470617985,-0.307857387,-0.347775465,0.947064713,43.067,1.231,81.993,13.368,0.2983,3.404,1.759,1.849,2.522,0.1683,0.029,91
MP/T3/100 ,-66.311784,110.532141,30.19,12.8174,330.4774,0.96882,46.9,5,1907.369912,30.5,35.32604753,0.075,0.075,0.38,0.889451469,9.408419988,0.930967822,69.46207057,29.78675866,47.38978743,1218.199148,452.0990308,1.040555,0.486175361,-0.233591619,-0.264891573,0.922432945,33.1295,0.5135,85.7225,5.4585,0.1385,1.947,2.8935,3.298,2.937,0.1931,0.0765,35
MP/T3/102 ,-66.311788,110.532182,30.44,12.6875,331.3067,0.93104,41.4,5,2616.002846,27.8,22.80132605,0.075,0.075,0.38,1.989478339,7.567033481,1.119048804,68.40370352,30.02811576,20.86501836,1032.198186,313.4552911,1.339555,0.395179079,0.036615409,-0.050837839,0.861016605,37.434,0.85,86.177,6.74,0.1816,2.289,3.183,3.011,2.751,0.3759,0.045,72
MP/T3/2 ,-66.311438,110.529717,13.05,7.9192,297.031,0.97566,58.9,5.5,1044.478696,27.8,61.62746287,0.075,0.075,0.38,0.075,22.67550134,0.670703537,58.08650091,41.71114015,64.88910151,1354.800101,555.3040993,0.882535,0.542446567,-0.312181212,-0.341021581,1.017922755,35.5645,0.8715,84.781,8.821,0.3167,2.3355,2.108,2.267,2.8285,0.135,0.03,66
MP/T3/200 ,-66.312681,110.534323,52.19,8.2376,22.7885,0.97601,43.6,5,1211.062444,24.1,40.49442413,0.075,0.075,0.075,0.075,8.087006725,1.016372925,77.34420377,21.58867846,58.85708899,1256.316532,476.3930965,1.00995,0.496598096,-0.234133566,-0.254988447,0.895970341,28.512,0.43,86.336,3.633,0.0958,0.984,1.948,2.935,3.931,0.1318,0.011,61
MP/T3/202 ,-66.3127,110.534339,52.43,7.8307,26.134,0.94836,49.9,4.9,2922.867955,22.9,17.0561605,0.075,0.075,0.38,0.686825255,3.543620155,1.286437724,73.53333244,23.72790068,32.06737341,1290.43726,478.5903503,1.203195,0.434348479,-0.314311294,-0.352087372,0.907864573,28.6035,0.404,86.9135,3.407,0.09725,0.872,1.8535,2.8605,3.892,0.12475,0.023,13.5
BP/T1/0 ,-66.472462,110.549556,40.41,3.9932,295.7426,0.91083,36.9,6.8,1600,1100,36.99355973,0.075,0.075,2.822760523,1.580745893,11.01903062,1.374881343,67.8612031,28.56556769,20.42061321,1304.611273,466.2919461,1.13417,0.455632642,-0.25580176,-0.349640833,1.126829658,31.911,0.999,86.36,5.959,0.1065,1.353,3.461,2.785,3.171,0.212,0.015,68
BP/T1/100 ,-66.472103,110.547549,40.18,3.181,80.1393,0.90417,48.5,6.7,1200,710,55.31859356,0.075,0.075,2.765929678,1.439063942,10.20515853,1.411468399,69.76937708,26.26159058,21.39844839,1267.248978,465.5138798,1.09702,0.46751654,-0.277148553,-0.384911118,1.218476074,30.124,0.757,86.417,4.695,0.0896,1.197,3.253,2.936,3.098,0.1624,0.008,108
BP/T1/102 ,-66.472083,110.54753,40.22,3.0993,83.6057,0.90853,48.5,6.5,1100,650,57.85981967,0.075,0.075,2.492423001,1.07312657,10.96863932,1.366791212,70.67166418,25.83847015,38.66065793,1101.599645,386.2498872,1.05635,0.480882143,-0.181763431,-0.274202884,1.102999658,29.522,0.694,86.783,4.583,0.0902,1.131,3.099,2.944,3.059,0.1583,0.007,132
BP/T1/2 ,-66.472454,110.549517,40.28,3.8198,297.3177,0.89794,41.1,6.6,1700,910,39.75672361,0.075,0.075,0.984748872,1.004845788,10.56092923,1.483534982,78.69528899,16.46085565,13.77923878,1202.911079,438.0102032,1.07663,0.474170324,-0.258449589,-0.343907229,1.119225549,33.002,1.145,86.676,7.08,0.1235,1.515,3.352,2.737,3.217,0.2186,0.014,86
BP/T1/200 ,-66.47172,110.545522,43.18,1.3277,127.3402,0.82975,31,6.4,2600,810,30.0091368,0.075,0.075,4.389381171,1.242655857,7.245485358,1.26628958,68.08763436,29.34118771,25.14037535,1428.518777,583.8006788,0.88309,0.542237951,-0.264377695,-0.358898926,1.208384995,31.735,0.978,86.811,6.049,0.1123,1.337,3.292,2.778,3.057,0.1912,0.017,90
BP/T1/202 ,-66.471712,110.545481,43.23,1.3973,123.9788,0.89775,31.7,6.5,900,850,22.53269817,0.075,0.075,0.870828915,0.885672589,4.190864152,1.643864409,73.08605723,19.61157046,3.461060798,1356.303456,486.2294441,1.20886,0.432646445,-0.289125526,-0.344411378,0.975300737,30.446,0.859,86.856,5.433,0.1079,1.247,3.315,2.886,3.027,0.2046,0.012,90
BP/T2/0 ,-66.472446,110.549589,40.47,4.165,293.852,0.91243,29.5,6.7,3000,900,26.12830787,0.075,0.075,2.653870014,2.462353621,7.749574036,1.487859352,63.65799453,31.44142509,4.898752094,1128.166498,392.8176253,1.197985,0.435919719,-0.277670686,-0.423799199,1.428038283,32.089,0.854,86.288,5.403,0.1013,1.403,3.246,2.722,3.498,0.2107,0.019,64
BP/T2/100 ,-66.472084,110.547584,40.09,3.043,85.3973,0.9131,74.1,6.5,2800,640,54.93142983,0.075,0.075,1.150769665,0.075,11.39058292,1.455838813,78.06305493,17.44480619,12.50110991,1191.112763,386.6402608,1.238955,0.423715689,-0.178935325,-0.275576597,1.067858549,32.369,0.938,86.568,6.129,0.118,1.419,3.368,2.892,3.078,0.1971,0.021,140
BP/T2/102 ,-66.472064,110.547559,40.16,2.9794,88.8974,0.91757,50.3,6.4,600,800,91.37982805,0.075,0.075,0.075,0.075,15.81954591,1.568765036,72.70991371,21.23344846,36.76380751,1231.246821,415.4833186,1.21613,0.430471962,-0.227289138,-0.374833208,1.343533903,31.206,0.918,86.834,5.689,0.0996,1.358,3.251,2.725,2.987,0.2031,0.016,63
BP/T2/2 ,-66.472438,110.549547,40.31,3.9573,294.8804,0.89035,32.5,6.7,400,710,112.4923643,0.075,0.075,0.075,1.259858487,20.8226611,1.409541524,66.00761826,30.04497846,8.601416614,1092.330932,354.9404029,1.174165,0.443176104,-0.142104251,-0.255506501,1.125531272,31.119,0.873,86.707,5.386,0.1229,1.325,3.44,2.861,2.946,0.2039,0.005,51
BP/T2/200 ,-66.471695,110.545533,43.23,1.3505,140.2951,0.87158,12.7,6.5,4900,730,21.93176666,0.075,0.794046547,2.794239749,0.075,8.865177907,1.530426279,69.96121065,24.55286698,10.43482344,1075.390029,328.5925296,1.18357,0.4402967,-0.034018631,-0.19324283,1.206074301,32.766,0.973,86.564,6.149,0.1247,1.526,3.296,2.78,3.047,0.2023,0.021,61
BP/T2/202 ,-66.471688,110.545492,43.26,1.3457,136.5281,0.828,19.7,6.5,1200,990,16.8187712,0.075,0.075,1.490777459,1.790933994,3.031581007,1.531378645,65.3974308,29.10297879,10.3648281,1106.482014,359.5291749,1.2505,0.420338819,-0.210842288,-0.306098716,1.102580279,33.992,1.15,86.427,7.101,0.1256,1.57,3.415,2.673,3.38,0.2266,0.018,54
BP/T3/0 ,-66.472427,110.549601,40.45,4.2338,292.6186,0.93207,27.1,6.6,2400,1000,21.05719386,0.075,0.075,2.532381292,2.07418779,8.493823634,1.471711801,82.83521709,12.47350578,28.92638805,1261.316208,472.4145266,1.01992,0.493178437,-0.337581216,-0.394665191,1.151050581,32.409,0.987,86.499,6.01,0.1114,1.423,3.33,2.792,3.219,0.1994,0.021,100
BP/T3/100 ,-66.472067,110.547625,40.01,2.9364,90.4061,0.90092,50.3,6.6,2400,660,59.29448068,0.075,0.075,1.092239244,1.792526606,11.84217286,1.465214569,75.12413692,20.26688213,4.162338467,1209.524506,413.5481841,1.096095,0.46781636,-0.14378924,-0.219801845,1.006910972,30.891,1.003,87.072,6.501,0.1283,1.51,3.222,2.794,2.934,0.2044,0.014,165
BP/T3/102 ,-66.472047,110.547598,40.08,2.8764,93.9309,0.90474,56.4,6.5,2100,680,65.18033053,0.075,0.075,0.898251852,1.260530223,11.77156571,1.956409986,70.2507828,15.09915448,23.78028804,885.6263179,254.6703535,1.188965,0.438653435,-0.089009308,-0.181892003,1.105957427,28.649,0.599,87.435,4.371,0.0938,1.16,2.97,2.879,2.789,0.1627,0.009,121
BP/T3/2 ,-66.472417,110.549563,40.29,4.0456,293.3635,0.90812,36.6,6.6,1200,610,36.75737641,0.075,0.075,1.388300145,1.197847418,9.47752915,1.521860609,71.70050081,22.9353666,4.775375845,1203.052832,408.6359464,1.267915,0.415295844,-0.255930094,-0.398752892,1.321242639,33.074,1.076,86.739,6.728,0.129,1.55,3.324,2.771,2.955,0.205,0.019,85
BP/T3/200 ,-66.47168,110.545536,43.26,1.3666,147.547,0.84907,15.9,6.5,2800,730,8.812789726,0.075,0.075,2.152345317,0.856207697,4.281038487,1.990305286,58.0646492,26.24333324,30.73571805,973.7342547,265.1863569,1.250255,0.420410201,-0.037500956,-0.185880749,1.257410701,32.006,0.861,86.785,5.869,0.1281,1.525,3.448,2.853,2.876,0.2523,0.005,68
BP/T3/202 ,-66.471673,110.545495,43.29,1.3282,143.8735,0.87264,16.3,6.6,2000,920,13.6157513,0.075,0.075,0.955660673,0.979793518,4.474229513,1.308961453,76.75800627,20.30632242,13.56403291,1326.854338,505.2523025,1.000575,0.499835301,-0.265228161,-0.328515178,1.059550594,32.8255,1.1085,86.7295,6.814,0.1243,1.437,3.39,2.861,3.042,0.2023,0.017,170
RR/T1/0,-66.36774,110.58534,25.25,8.64747,317.677338,0.873398796,56.6,5,11468.99171,74,6.35256484,1.075278136,0.604534252,1.06041254,2.576703367,14.17682372,1.341802287,54.00056977,42.75786989,2.459686221,1243.692649,359.6354336,1.715135,0.304610146,-0.304266709,-0.370033538,1.059790877,40.061,0.956,85.817,6.397,0.1388,1.848,3.634,2.746,3.153,0.5249,0.081,154
RR/T1/100,-66.368572,110.585669,35.77,5.50259,11.472095,0.914650998,14.7,5.4,840.9503052,32.2,5.995227084,0.075,0.075,0.815271345,9.738515637,3.986875723,1.766101658,69.60537011,20.6657511,33.95599222,973.8490014,276.5911233,1.25439,0.419207081,-0.040319721,-0.102437487,0.943659638,33.367,0.908,86.284,6.057,0.1273,1.614,3.754,2.963,3.137,0.3471,0.018,97
RR/T1/102,-66.36859,110.585662,35.96,5.574512,13.21181,0.929701308,16.5,5.5,1138.296616,47.3,5.656322364,0.075,0.075,0.38,8.840180159,3.298277684,1.522198145,68.58792939,26.04317756,24.92642857,1150.858131,364.3557525,1.195535,0.436660558,-0.068366678,-0.112727084,0.871223234,34.0295,1.012,86.3365,6.131,0.1195,1.5305,3.741,2.889,3.176,0.3462,0.022,98.5
RR/T1/2,-66.367756,110.58535,25.51,8.592225,318.190338,0.857748673,41,5.1,4444.327876,64.1,3.605675295,0.075,0.075,0.866748869,1.262976924,9.583766067,1.4050392,67.37806619,28.72472421,1.877514806,1221.166569,358.7320955,1.91915,0.264445298,-0.435045453,-0.457725751,0.95623468,39.352,1.16,85.976,7.058,0.1572,1.968,3.846,2.761,3.059,0.4567,0.09,147
RR/T1/200,-66.36945,110.585627,45.73,6.311208,28.745117,0.944927091,15.6,5.3,1072.676874,22.7,4.943793979,0.075,0.075,0.38,3.364322708,3.618602912,1.441825967,72.99252721,22.68580508,48.64819204,1206.627192,398.5152115,1.1935,0.437276864,-0.128645129,-0.156569919,0.842502421,34.882,1.076,86.058,6.615,0.1381,1.796,3.956,2.934,3.206,0.3389,0.021,114
RR/T1/202,-66.369468,110.585626,45.94,6.246901,29.457022,0.959973166,9.1,5.4,550.8883631,17.7,3.72821801,0.075,0.075,0.38,4.956044475,2.057976342,1.505831086,77.21063311,17.64768702,30.04398514,1061.356996,338.1070199,1.04642,0.484203116,-0.011519922,-0.033924858,0.870920243,30.496,0.704,86.693,4.617,0.0979,1.324,3.229,2.901,3.364,0.2522,0.01,75
RR/T2/0,-66.367739,110.585302,25.07,8.712618,317.981049,0.814642938,38.6,5.1,4042.76772,73.5,4.44568449,0.075,0.075,1.092793953,1.549780515,19.51133931,1.547267627,71.31538203,22.95320429,2.29097908,968.1080634,251.4530617,2.47603,0.179769069,-0.3518228,-0.36199717,0.745690666,40.165,0.951,85.835,6.356,0.138,1.831,3.631,2.756,3.139,0.5226,0.081,167
RR/T2/100,-66.368566,110.585623,35.75,5.685465,10.198239,0.931997636,15.6,5.1,1075.226224,31.4,5.744451719,0.075,0.075,0.780749064,9.162167818,3.898574794,1.687352858,73.7832297,18.11045212,35.98351671,983.0931321,300.9483431,1.168305,0.444979696,-0.041316969,-0.101962548,0.929885042,34.655,1.062,86.349,6.447,0.1328,1.713,3.938,2.88,3.168,0.4193,0.022,101
RR/T2/102,-66.368588,110.585621,35.98,5.759342,12.266506,0.970508036,18,5.2,1507.233909,26.8,4.532926653,0.075,0.075,0.765628551,6.900797735,4.365603857,1.056321329,52.21246825,46.54248919,29.84307485,1346.094784,471.9958309,1.242665,0.42262758,-0.217860418,-0.259143594,0.861662795,33.408,0.971,86.511,5.959,0.1223,1.497,3.682,2.887,3.146,0.3707,0.018,81
RR/T2/2,-66.36776,110.585306,25.35,8.666655,318.708405,0.86342913,40.4,5.4,5077.558251,65,9.61086957,0.075,0.565929303,1.077251393,1.886431011,16.16373519,1.57409565,61.47686176,32.38375881,2.345855721,1153.189815,336.930551,2.00189,0.249707226,-0.45163481,-0.466490018,0.918747562,38.473,1.046,86.253,6.812,0.1489,1.841,3.68,2.738,3.043,0.461,0.075,150
RR/T2/200,-66.369451,110.585574,45.85,6.318602,27.674726,0.944138166,9.2,5.9,275,26.9,4.887715067,0.075,0.075,0.38,5.565019947,1.895442761,1.844107901,68.795601,19.6394076,44.56546595,1057.259849,327.7483237,1.234135,0.425133536,-0.077787429,-0.111402382,0.852975141,33.015,0.951,86.423,5.994,0.1268,1.631,3.921,2.892,3.141,0.3736,0.009,87
RR/T2/202,-66.369467,110.585574,46.05,6.279895,28.224838,0.963034494,12.4,5.1,730.5645018,20.6,5.84641031,0.075,0.075,0.38,3.92240081,2.469476111,1.481510096,76.20264001,18.97989617,31.26863388,1255.106685,418.9335715,1.186025,0.439548169,-0.128317931,-0.153005124,0.832049887,32.362,0.939,86.666,5.845,0.1244,1.552,3.538,2.867,3.125,0.3088,0.011,93
